Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,3,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.75,0,0
